IP,site,vuln
10.200.31.2,MS,
10.200.31.4,MS,
10.200.31.6,MS,
10.200.31.9,MS,
10.200.32.10,MS,
10.200.32.12,MS,
10.200.32.254,MS,
10.200.32.6,MS,
10.200.32.7,MS,
10.200.32.8,MS,
10.200.32.9,MS,
10.200.35.1,MS,
10.200.35.16,MS,
10.200.35.17,MS,
10.200.35.19,MS,
10.200.35.20,MS,
10.200.35.21,MS,
10.200.35.4,MS,
10.200.35.5,MS,
10.200.35.6,MS,
10.200.37.10,MS,
10.200.37.254,MS,
10.200.37.4,MS,
10.200.37.5,MS,
10.200.37.6,MS,
10.200.37.7,MS,
10.200.37.8,MS,
10.200.37.9,MS,
10.200.38.4,MS,
10.200.39.1,MS,
10.200.39.10,MS,
10.200.39.11,MS,
10.200.39.13,MS,
10.200.39.14,MS,
10.200.39.15,MS,
10.200.39.16,MS,
10.200.39.18,MS,
10.200.39.2,MS,
10.200.39.3,MS,
10.200.39.5,MS,
10.200.39.9,MS,
10.200.42.10,MS,
10.200.42.11,MS,
10.200.42.12,MS,
10.200.42.13,MS,
10.200.42.2,MS,
10.200.42.5,MS,
10.200.42.6,MS,
10.200.42.8,MS,
10.200.42.9,MS,
10.200.43.1,MS,
10.200.46.1,MS,
10.200.46.2,MS,
10.200.46.3,MS,
10.200.51.11,MS,
10.200.51.188,MS,
10.200.51.189,MS,
10.200.51.190,MS,
10.200.51.191,MS,
10.200.51.192,MS,
10.200.51.194,MS,
10.200.51.195,MS,
10.200.51.196,MS,
10.200.51.197,MS,
10.200.51.198,MS,
10.200.51.199,MS,
10.200.51.200,MS,
10.200.51.201,MS,
10.200.51.202,MS,
10.200.51.250,MS,
10.200.51.251,MS,
10.200.51.252,MS,
10.200.51.3,MS,
10.200.51.4,MS,
10.200.51.80,MS,
10.200.51.81,MS,
10.200.51.82,MS,
10.200.51.83,MS,
10.200.57.18,MS,
10.200.57.19,MS,
10.200.58.157,MS,
10.200.58.165,MS,
10.200.58.187,MS,
10.200.58.27,MS,
10.200.58.33,MS,
10.200.58.34,MS,
10.200.58.38,MS,
10.200.58.39,MS,
10.200.58.42,MS,
10.200.58.46,MS,
10.200.58.52,MS,
10.200.58.53,MS,
10.200.58.58,MS,
10.200.58.61,MS,
10.200.58.73,MS,
10.200.58.80,MS,
10.200.58.89,MS,
10.200.58.96,MS,
10.200.60.2,MS,
10.200.60.3,MS,
134.164.1.87,MS,
134.164.101.10,MS,
134.164.101.8,MS,
134.164.101.9,MS,
134.164.103.74,MS,
134.164.107.71,MS,
134.164.108.52,MS,
134.164.109.41,MS,
134.164.109.44,MS,
134.164.109.45,MS,
134.164.120.5,MS,
134.164.124.254,MS,
134.164.129.12,MS,
134.164.129.15,MS,
134.164.129.159,MS,
134.164.129.171,MS,
134.164.129.172,MS,
134.164.129.174,MS,
134.164.129.181,MS,
134.164.129.182,MS,
134.164.129.254,MS,
134.164.129.42,MS,
134.164.129.46,MS,
134.164.129.62,MS,
134.164.129.90,MS,
134.164.137.234,MS,
134.164.137.36,MS,
134.164.141.28,MS,
134.164.141.30,MS,
134.164.150.97,MS,
134.164.164.28,MS,
134.164.164.30,MS,
134.164.164.32,MS,
134.164.164.36,MS,
134.164.168.56,MS,
134.164.180.8,MS,
134.164.184.135,MS,
134.164.184.27,MS,
134.164.184.31,MS,
134.164.184.41,MS,
134.164.184.78,MS,
134.164.190.9,MS,
134.164.200.44,MS,
134.164.200.70,MS,
134.164.204.36,MS,
134.164.208.72,MS,
134.164.208.73,MS,
134.164.208.84,MS,
134.164.21.244,MS,
134.164.212.102,MS,
134.164.212.104,MS,
134.164.212.105,MS,
134.164.212.108,MS,
134.164.212.110,MS,
134.164.212.12,MS,
134.164.212.121,MS,
134.164.212.122,MS,
134.164.212.123,MS,
134.164.212.125,MS,
134.164.212.127,MS,
134.164.212.128,MS,
134.164.212.129,MS,
134.164.212.13,MS,
134.164.212.131,MS,
134.164.212.132,MS,
134.164.212.134,MS,
134.164.212.135,MS,
134.164.212.137,MS,
134.164.212.138,MS,
134.164.212.14,MS,
134.164.212.140,MS,
134.164.212.142,MS,
134.164.212.143,MS,
134.164.212.145,MS,
134.164.212.147,MS,
134.164.212.148,MS,
134.164.212.149,MS,
134.164.212.15,MS,
134.164.212.150,MS,
134.164.212.151,MS,
134.164.212.154,MS,
134.164.212.155,MS,
134.164.212.156,MS,
134.164.212.158,MS,
134.164.212.159,MS,
134.164.212.162,MS,
134.164.212.165,MS,
134.164.212.166,MS,
134.164.212.167,MS,
134.164.212.169,MS,
134.164.212.170,MS,
134.164.212.172,MS,
134.164.212.174,MS,
134.164.212.175,MS,
134.164.212.177,MS,
134.164.212.179,MS,
134.164.212.18,MS,
134.164.212.180,MS,
134.164.212.181,MS,
134.164.212.182,MS,
134.164.212.184,MS,
134.164.212.186,MS,
134.164.212.187,MS,
134.164.212.188,MS,
134.164.212.189,MS,
134.164.212.19,MS,
134.164.212.190,MS,
134.164.212.194,MS,
134.164.212.195,MS,
134.164.212.198,MS,
134.164.212.199,MS,
134.164.212.200,MS,
134.164.212.201,MS,
134.164.212.202,MS,
134.164.212.203,MS,
134.164.212.204,MS,
134.164.212.206,MS,
134.164.212.211,MS,
134.164.212.212,MS,
134.164.212.214,MS,
134.164.212.215,MS,
134.164.212.216,MS,
134.164.212.217,MS,
134.164.212.218,MS,
134.164.212.219,MS,
134.164.212.220,MS,
134.164.212.221,MS,
134.164.212.225,MS,
134.164.212.226,MS,
134.164.212.232,MS,
134.164.212.234,MS,
134.164.212.236,MS,
134.164.212.237,MS,
134.164.212.241,MS,
134.164.212.242,MS,
134.164.212.243,MS,
134.164.212.244,MS,
134.164.212.245,MS,
134.164.212.246,MS,
134.164.212.251,MS,
134.164.212.26,MS,
134.164.212.3,MS,
134.164.212.30,MS,
134.164.212.31,MS,
134.164.212.32,MS,
134.164.212.33,MS,
134.164.212.34,MS,
134.164.212.40,MS,
134.164.212.41,MS,
134.164.212.42,MS,
134.164.212.44,MS,
134.164.212.48,MS,
134.164.212.50,MS,
134.164.212.52,MS,
134.164.212.57,MS,
134.164.212.61,MS,
134.164.212.62,MS,
134.164.212.63,MS,
134.164.212.65,MS,
134.164.212.67,MS,
134.164.212.68,MS,
134.164.212.7,MS,
134.164.212.73,MS,
134.164.212.74,MS,
134.164.212.76,MS,
134.164.212.77,MS,
134.164.212.82,MS,
134.164.212.83,MS,
134.164.212.84,MS,
134.164.212.86,MS,
134.164.212.89,MS,
134.164.212.90,MS,
134.164.212.94,MS,
134.164.214.249,MS,
134.164.214.251,MS,
134.164.214.252,MS,
134.164.214.253,MS,
134.164.215.100,MS,
134.164.215.105,MS,
134.164.215.108,MS,
134.164.215.109,MS,
134.164.215.11,MS,
134.164.215.111,MS,
134.164.215.112,MS,
134.164.215.114,MS,
134.164.215.118,MS,
134.164.215.119,MS,
134.164.215.12,MS,
134.164.215.120,MS,
134.164.215.123,MS,
134.164.215.124,MS,
134.164.215.125,MS,
134.164.215.127,MS,
134.164.215.128,MS,
134.164.215.129,MS,
134.164.215.130,MS,
134.164.215.137,MS,
134.164.215.15,MS,
134.164.215.150,MS,
134.164.215.157,MS,
134.164.215.169,MS,
134.164.215.182,MS,
134.164.215.183,MS,
134.164.215.19,MS,
134.164.215.20,MS,
134.164.215.211,MS,
134.164.215.215,MS,
134.164.215.216,MS,
134.164.215.217,MS,
134.164.215.220,MS,
134.164.215.221,MS,
134.164.215.222,MS,
134.164.215.227,MS,
134.164.215.228,MS,
134.164.215.229,MS,
134.164.215.232,MS,
134.164.215.233,MS,
134.164.215.234,MS,
134.164.215.236,MS,
134.164.215.238,MS,
134.164.215.239,MS,
134.164.215.240,MS,
134.164.215.241,MS,
