IP,site,dns,vuln
134.164.254.52,ms.vicksburg-0012.erdc.usace - v4,,
134.164.254.51,ms.vicksburg-0012.erdc.usace - v4,,
134.164.254.50,ms.vicksburg-0012.erdc.usace - v4,,
134.164.254.22,ms.vicksburg-0012.erdc.usace - v4,,
134.164.254.21,ms.vicksburg-0012.erdc.usace - v4,,
134.164.254.20,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.113,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.112,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.111,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.110,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.109,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.108,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.107,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.106,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.105,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.104,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.103,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.102,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.101,ms.vicksburg-0012.erdc.usace - v4,,
134.164.253.100,ms.vicksburg-0012.erdc.usace - v4,rep-target.erdc.dren.mil,
134.164.250.242,ms.vicksburg-0012.erdc.usace - v4,gsljdf-md-q3154.erdc.dren.mil,
134.164.250.115,ms.vicksburg-0012.erdc.usace - v4,,
134.164.250.23,ms.vicksburg-0012.erdc.usace - v4,,
134.164.222.3,ms.vicksburg-0012.erdc.usace - v4,itljdk-wd-p8405.erdc.dren.mil,
134.164.214.238,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.235,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.228,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.220,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.209,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.200,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.62,ms.vicksburg-0012.erdc.usace - v4,,
