IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
144.3.113.32,,AK Printer,,AK Printer,,,Single IP Address
134.164.24.219,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.23.5,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.24.245,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.23.25,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.23.26,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.23.163,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.24.96,,Bluecoat,,Bluecoat,,,Single IP Address
134.164.24.148,,Bluecoat,,Bluecoat,,,Single IP Address
10.200.23.95,,Bomgar Appliance,,Bomgar Appliance,,,Single IP Address
10.202.135.0,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.1,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.2,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.3,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.4,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.5,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.6,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.7,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.8,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.9,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.10,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.11,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.12,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.13,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.14,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.15,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.16,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.17,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.18,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.19,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.20,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.21,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.22,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.23,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.24,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.25,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.26,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.27,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.28,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.29,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.30,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.31,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.32,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.33,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.34,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.35,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.36,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.37,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.38,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.39,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.40,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.41,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.42,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.43,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.44,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.45,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.46,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.47,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.48,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.49,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.50,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.51,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.52,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.53,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.54,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.55,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.56,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.57,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.58,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.59,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.60,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.61,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.62,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.63,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.64,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.65,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.66,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.67,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.68,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.69,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.70,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.71,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.72,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.73,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.74,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.75,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.76,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.77,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.78,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.79,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.80,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.81,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.82,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.83,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.84,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.85,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.86,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.87,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.88,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.89,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.90,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.91,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.92,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.93,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.94,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.95,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.96,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.97,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.98,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.99,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.100,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.101,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.102,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.103,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.104,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.105,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.106,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.107,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.108,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.109,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.110,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.111,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.112,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.113,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.114,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.115,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.116,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.117,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.118,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.119,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.120,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.121,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.122,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.123,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.124,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.125,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.126,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.127,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.128,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.129,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.130,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.131,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.132,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.133,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.134,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.135,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.136,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.137,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.138,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.139,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.140,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.141,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.142,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.143,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.144,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.145,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.146,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.147,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.148,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.149,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.150,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.151,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.152,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.153,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.154,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.155,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.156,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.157,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.158,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.159,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.160,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.161,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.162,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.163,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.164,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.165,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.166,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.167,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.168,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.169,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.170,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.171,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.172,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.173,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.174,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.175,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.176,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.177,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.178,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.179,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.180,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.181,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.182,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.183,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.184,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
